Sample.id	Plant	Pod	Seed
A12	A	A1	2
A13	A	A1	3
A14	A	A1	4
A21	A	A2	1
A22	A	A2	2
A23	A	A2	3
A24	A	A2	4
A31	A	A3	1
A32	A	A3	2
A33	A	A3	3
A34	A	A3	4
B12	B	B1	2
B13	B	B1	3
B14	B	B1	4
B21	B	B2	1
B22	B	B2	2
B23	B	B2	3
B24	B	B2	4
B31	B	B3	1
B32	B	B3	2
B33	B	B3	3
B34	B	B3	4
B41	B	B4	1
B42	B	B4	2
B43	B	B4	3
B44	B	B4	4
B51	B	B5	1
B52	B	B5	2
B53	B	B5	3
B54	B	B5	4
B61	B	B6	1
B62	B	B6	2
B63	B	B6	3
B64	B	B6	4
C51	C	C5	1
C52	C	C5	2
C53	C	C5	3
C61	C	C6	1
C62	C	C6	2
C63	C	C6	3
C64	C	C6	4
C71	C	C7	1
C72	C	C7	2
C73	C	C7	3
C74	C	C7	4
