Sample.id,Plant,Pod,Seed,Dryseed_weight_g
A11,A,A1,1,0.38
A12,A,A1,2,0.36
A13,A,A1,3,0.4
A14,A,A1,4,0.35
A21,A,A2,1,0.39
A22,A,A2,2,0.4
A23,A,A2,3,0.41
A24,A,A2,4,0.34
A31,A,A3,1,0.33
A32,A,A3,2,0.28
A33,A,A3,3,0.29
A34,A,A3,4,0.35
B11,B,B1,1,0.32
B12,B,B1,2,0.33
B13,B,B1,3,0.35
B14,B,B1,4,0.39
B21,B,B2,1,0.32
B22,B,B2,2,0.31
B23,B,B2,3,0.26
B24,B,B2,4,0.32
B31,B,B3,1,0.34
B32,B,B3,2,0.26
B33,B,B3,3,0.35
B34,B,B3,4,0.34
B41,B,B4,1,0.31
B42,B,B4,2,0.27
B43,B,B4,3,0.36
B44,B,B4,4,0.31
B51,B,B5,1,0.28
B52,B,B5,2,0.29
B53,B,B5,3,0.3
B54,B,B5,4,0.29
B61,B,B6,1,0.34
B62,B,B6,2,0.39
B63,B,B6,3,0.36
B64,B,B6,4,0.37
C51,C,C5,1,0.39
C52,C,C5,2,0.35
C53,C,C5,3,0.4
C61,C,C6,1,0.32
C62,C,C6,2,0.33
C63,C,C6,3,0.32
C64,C,C6,4,0.31
C71,C,C7,1,0.34
C72,C,C7,2,0.36
C73,C,C7,3,0.34
C74,C,C7,4,0.35
