OTU.ID	A11	A12	A13	A14	A21	A22	A23	A24	A31	A32	A33	A34	B11	B12	B13	B14	B21	B22	B23	B24	B31	B32	B33	B34	B41	B42	B43	B44	B51	B52	B53	B54	B61	B62	B63	B64	C51	C52	C53	C61	C62	C63	C64	C71	C72	C73	C74
AM697174.1.1481	0	0	0	0	0	0	0	0	0	159.090909090909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AM749763.1.1392	0	33.3333333333334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76.9230769230772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62.5000000000002	47.6190476190477	0	0	0	0	0
AOKA01000137.3650.5241	0	0	0	0	0	0	0	20.4081632653061	0	90.909090909091	0	25.6410256410257	0	34.4827586206897	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166.666666666668	0
AOTF01000010.101107.102585	0	0	0	0	0	0	0	0	121.212121212121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARMF01000004.652094.653575	0	0	0	0	0	0	38.4615384615385	0	0	0	0	0	0	0	0	0	0	0	130.434782608696	0	0	0	111.111111111112	0	0	0	0	0	0	0	0	62.5000000000002	0	0	272.727272727274	0	0	0	142.857142857143	0	0	0	62.5000000000002	0	0	0	57.1428571428572
AUBC01000058.44.1506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500.000000000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AWSE01000038.3664.5213	0	0	0	0	0	0	0	0	0	0	0	0	114.754098360656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.5714285714286
AY030334.1.1514	0	0	0	0	0	0	38.4615384615385	0	60.6060606060607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AY080982.1.1553	64.5161290322581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AY138993.1.1524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	222.222222222223	0	0	0	0	0	0	0	0	0	142.857142857143	0	0	0	0	0	0	0	0	0	0	127.659574468085	0	0	0	0	0	0	0	0	0	166.666666666668	0
AY491594.1.1631	0	66.6666666666668	0	0	0	0	0	0	0	0	0	0	0	34.4827586206897	222.222222222223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62.5000000000002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AY792283.1.1480	0	0	0	0	0	0	0	20.4081632653061	0	0	0	0	0	0	55.5555555555557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AY958926.1.1506	0	0	0	0	0	0	0	265.30612244898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AY960780.1.1429	0	0	0	0	0	0	0	0	0	0	0	128.205128205128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AY963437.1.1523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111.111111111112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57.1428571428572
AYZN01000032.115.1658	0	0	0	0	0	0	0	0	0	0	0	128.205128205128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BBHE01000968.162.1691	0	0	0	0	0	0	0	122.448979591837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71.4285714285717	0	0	0	0	0	0	0	0
BBPC01190614.7148.8812	0	0	0	85.7142857142858	166.666666666667	31.25	0	81.6326530612246	60.6060606060607	68.1818181818182	31.25	128.205128205128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BBPI01000114.335.1824	0	0	0	0	0	0	0	0	0	0	0	0	0	17.2413793103448	0	2200.00000000001	0	0	0	0	0	0	0	0	0	0	31.25	0	0	0	0	0	0	0	90.9090909090913	0	250.000000000001	0	0	0	0	0	0	0	444.444444444447	0	0
BCWL01000265.646.2166	0	0	34.4827586206897	0	0	0	76.923076923077	0	0	0	0	0	0	17.2413793103448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57.1428571428572
CAJU020000019.27308.28816	0	0	0	0	0	0	0	183.673469387755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CATO01000049.63.1649	0	133.333333333334	34.4827586206897	85.7142857142858	0	93.7500000000001	0	40.8163265306123	30.3030303030303	90.909090909091	156.25	76.923076923077	0	68.9655172413794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	571.428571428575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCPS01000022.154.1916	1258.06451612903	466.666666666667	1965.51724137931	8257.14285714287	2125	2531.25	2346.15384615385	5551.02040816327	2818.18181818182	2409.09090909091	2687.5	1564.10256410257	163.934426229508	9793.10344827587	722.222222222224	0	800.000000000004	0	0	444.444444444447	0	750.000000000001	0	0	142.857142857143	0	1468.75	0	0	142.857142857144	0	0	0	0	0	0	0	0	0	0	1062.5	0	0	0	0	0	0
CP001965.357388.358915	0	0	0	0	0	0	0	20.4081632653061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90.9090909090913	0	0	0	0	0	0	0	0	400.000000000002	0	0	0
CP002739.60209.61784	0	0	34.4827586206897	28.5714285714286	41.6666666666667	31.25	0	0	0	0	0	0	98.360655737705	0	0	0	0	0	43.4782608695653	111.111111111112	166.666666666668	0	0	0	0	0	62.5000000000001	181.818181818183	181.818181818183	142.857142857144	0	0	83.3333333333337	0	90.9090909090913	0	125.000000000001	0	142.857142857143	100	62.5000000000002	0	62.5000000000002	0	0	0	85.7142857142858
CP003851.30965.32521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142.857142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CP009312.1832900.1834429	0	0	0	0	0	0	0	0	60.6060606060607	0	0	25.6410256410257	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142.857142857143
CP012507.1793487.1795021	0	0	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	222.222222222223	0	0
CP015906.2140419.2141977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	363.636363636365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CP016177.2528920.2530487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	400.000000000002	0	0	0	0	0	0	0	166.666666666668	0
CP019158.175094.176630	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	222.222222222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CP019688.1235466.1236966	0	0	0	0	0	0	0	0	0	0	0	179.48717948718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CP019697.1217236.1218781	64.5161290322581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CR931997.108684.110210	0	0	0	0	83.3333333333335	0	0	0	30.3030303030303	0	0	0	16.3934426229508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71.4285714285717	0	0	0	0	0	0	0	0
CRKN01000054.4139.5702	0	0	0	142.857142857143	0	0	0	0	0	0	0	153.846153846154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85.7142857142858
CTEN01000001.315310.316856	0	0	0	0	0	0	0	0	0	0	0	179.48717948718	0	137.931034482759	0	400.000000000002	0	0	0	0	0	0	0	100	0	0	0	0	0	0	100	0	0	0	0	0	0	0	214.285714285715	0	0	190.476190476191	0	0	0	0	0
CVJT01000011.50.2173	32.2580645161291	33.3333333333334	68.9655172413794	57.1428571428572	125	0	76.923076923077	20.4081632653061	60.6060606060607	0	62.5000000000001	25.6410256410257	0	86.2068965517242	0	0	0	0	0	0	0	0	0	0	71.4285714285717	0	0	0	0	0	0	62.5000000000002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CZKG01000048.33782.35294	32.2580645161291	0	0	0	0	0	38.4615384615385	0	0	0	31.25	0	0	0	0	0	100	0	0	0	0	0	0	100	214.285714285715	0	31.25	0	0	0	100	0	0	0	0	0	125.000000000001	0	0	100	62.5000000000002	0	0	100	0	0	0
DQ234192.1.1572	129.032258064516	0	0	0	83.3333333333335	0	153.846153846154	387.755102040817	90.909090909091	113.636363636364	31.25	0	377.049180327869	189.655172413793	833.333333333335	0	100	0	86.9565217391306	444.444444444447	500.000000000004	0	222.222222222223	400.000000000002	357.142857142858	76.9230769230772	312.5	0	181.818181818183	285.714285714288	300.000000000001	125	416.666666666668	100	0	0	0	300.000000000001	642.857142857145	0	0	0	0	0	0	833.33333333334	0
DQ248295.1.1465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200.000000000001	0	0	0	0	0	0	0
DQ316373.1.1526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200.000000000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ354732.1.1483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200.000000000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90.9090909090913	0	0	0	71.4285714285717	0	0	0	62.5000000000002	0	0	0	0
DQ532173.1.1488	0	0	0	0	0	0	0	0	0	0	0	0	196.72131147541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ870740.1.1288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62.5000000000002	0	0	0	28.5714285714286
DQ905882.1.1619	0	0	0	0	0	0	0	0	0	0	0	51.2820512820513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EF101307.1.1549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187.500000000001	0	0	0	0	0	0
EF492914.1.1482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111.111111111112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62.5000000000002	0	0	0	0	0	0
EF492959.1.1483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	83.3333333333337	0	0	0	0	0	0	0	0	0	125	0	0	0	0
EF517956.1.1666	0	100	68.9655172413794	285.714285714286	41.6666666666667	0	0	204.081632653061	90.909090909091	68.1818181818182	0	102.564102564103	0	241.379310344828	0	5100.00000000002	0	111.111111111112	260.869565217392	1444.44444444445	666.666666666672	805.555555555557	0	0	0	615.384615384618	500.000000000001	0	181.818181818183	142.857142857144	600.000000000003	1437.5	666.666666666669	2000.00000000001	0	0	375.000000000002	400.000000000002	0	0	0	0	0	0	222.222222222223	0	114.285714285714
EF528273.1.1512	387.096774193549	300	1620.68965517242	5200.00000000001	1458.33333333334	1281.25	1230.76923076923	2285.71428571429	1787.87878787879	2931.81818181818	2031.25	2820.51282051282	180.327868852459	8517.24137931035	388.88888888889	100	0	0	86.9565217391306	0	0	1111.11111111111	0	0	428.57142857143	0	750.000000000001	0	0	285.714285714288	0	0	83.3333333333337	0	0	893.617021276597	375.000000000002	0	285.714285714287	0	250.000000000001	285.714285714286	187.500000000001	300.000000000001	333.333333333335	0	342.857142857143
EF688375.1.1509	0	0	0	0	0	0	0	0	0	0	0	0	32.7868852459017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EU335319.1.1484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43.4782608695653	0	0	0	0	100	0	0	0	0	0	0	200.000000000001	0	0	0	0	0	0	0	71.4285714285717	0	0	0	125	0	0	0	0
EU344946.1.1473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111.111111111112	0	0	0	0	0	0	0	0	0	0	0	285.714285714288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57.1428571428572
EU344952.1.1491	0	0	0	0	41.6666666666667	0	153.846153846154	20.4081632653061	30.3030303030303	0	31.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EU680448.1.1502	0	0	0	0	0	0	0	40.8163265306123	0	0	0	205.128205128205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62.5000000000002	0	0	0	0
EU778456.1.1401	0	0	0	0	0	0	38.4615384615385	0	0	0	62.5000000000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EU797470.1.1498	870.967741935485	533.333333333334	2517.24137931035	3771.42857142858	1541.66666666667	2468.75	2846.15384615385	2408.16326530612	7060.60606060607	7568.18181818183	15031.25	5384.61538461539	0	86.2068965517242	0	0	0	0	0	0	0	0	0	0	71.4285714285717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47.6190476190477	0	100	0	0	0
EU861937.1.1481	64.5161290322581	0	0	0	0	0	0	0	0	0	31.25	0	0	0	0	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EU861969.1.1494	0	0	0	0	0	0	0	0	363.636363636364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EU881119.1.1458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62.5000000000002	0	0	0	0	0	0	0	100	0	0	0	0	0	0	85.7142857142858
EU881259.1.1453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.2765957446809	0	0	0	0	0	0	0	0	0	0	0
EU939390.1.1546	0	0	0	114.285714285714	0	0	0	0	0	45.4545454545455	0	0	0	0	0	0	0	0	86.9565217391306	0	0	0	0	0	0	0	156.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FJ439860.1.1500	0	0	0	0	0	0	0	0	0	0	0	0	49.1803278688525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125.000000000001	0	0	0	0	0	0	0	0	0	85.7142857142858
FJ466180.1.1448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55.5555555555557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62.5000000000002	0	0	0	0	0	0
FJ470514.1.1503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300.000000000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FJ470591.1.1499	0	0	0	0	0	0	0	0	0	0	0	0	278.688524590164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FJ538159.1.1489	0	0	0	0	0	0	0	20.4081632653061	0	0	0	0	16.3934426229508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62.5000000000002	0	0	0	0	0	0
FJ538164.1.1471	0	0	0	57.1428571428572	0	0	38.4615384615385	0	30.3030303030303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62.5000000000002	0	0	0	0	0	0	71.4285714285717	0	0	0	0	0	0	0	28.5714285714286
FJ624896.1.1468	0	0	0	0	0	0	0	0	30.3030303030303	0	31.25	0	0	0	0	100	0	0	43.4782608695653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	62.5000000000002	0	0	0	0
FJ624918.1.1486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71.4285714285717	0	62.5000000000002	0	0	0	0	0	28.5714285714286
FJ625379.1.1481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	454.545454545456	0	0	100	62.5000000000002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.5714285714286
FJ684602.1.1480	0	0	0	0	0	0	0	102.040816326531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FJ901047.1.1308	0	0	0	0	0	0	0	0	0	0	0	0	0	34.4827586206897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0
FJ957835.1.1517	0	0	0	0	0	0	0	0	121.212121212121	0	0	0	0	0	111.111111111111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FLQT01000003.189534.191041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85.7142857142858
FM872962.1.1480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200.000000000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FM873682.1.1495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83.3333333333334	0	0	0	0	0	0	0	0	0	0	0	0	0	21.2765957446809	0	0	0	0	0	0	0	0	0	0	0
FM955864.1.1517	0	0	0	0	0	0	0	0	0	0	0	0	32.7868852459017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142.857142857144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FN667362.1.1484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125.000000000001	0	0	0	0	0	0	0	0	0	0
FNFY01000063.42.1594	0	0	0	0	0	0	0	0	0	0	0	0	0	17.2413793103448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62.5000000000002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FNLG01000001.4705154.4706639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125.000000000001	0	0	0	0	0	62.5000000000002	0	0	0	0
