OTU.ID	A11	A12	A13	A14	A21	A22	A23	A24	A31	A32	A33	A34	B11	B12	B13	B14	B21	B22	B23	B24	B31	B32	B33	B34	B41	B42	B43	B44	B51	B52	B53	B54	B61	B62	B63	B64	C51	C52	C53	C61	C62	C63	C64	C71	C72	C73	C74
AB109770.615.2139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111.111111111112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	666.66666666667	0	142.857142857143
AB207814.1.1490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AB252903.1.1522	0	0	0	0	0	0	0	0	0	0	31.25	0	0	0	0	0	0	0	0	0	0	194.444444444445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	333.333333333335	0	28.5714285714286
AB264174.1.1473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AB294262.1.1402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90.9090909090913	0	0	0	0	0	0	0	62.5000000000002	100	0	0	0
AB362767.1.1576	96.7741935483872	166.666666666667	1310.34482758621	1457.14285714286	291.666666666667	1187.5	1038.46153846154	1959.18367346939	515.151515151516	977.272727272728	750.000000000001	564.102564102565	245.901639344262	3637.93103448276	222.222222222223	100	300.000000000001	222.222222222223	0	0	0	500.000000000001	0	0	0	0	0	90.9090909090913	0	142.857142857144	0	125	83.3333333333337	0	0	0	0	0	0	500.000000000002	437.500000000001	190.476190476191	0	0	0	0	85.7142857142858
AB365066.1.1533	0	0	0	0	0	218.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AB491963.1.1519	0	0	34.4827586206897	0	0	0	0	20.4081632653061	0	0	31.25	0	0	0	55.5555555555557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200.000000000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.5714285714286
AB559667.1.1517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85.1063829787235	0	0	0	0	0	0	0	0	0	0	0
AB637065.1.1480	0	0	0	0	0	0	0	0	0	0	0	0	0	51.7241379310345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AB672179.1.1470	0	0	0	0	0	0	0	0	0	0	31.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0
AB745637.1.1513	225.806451612904	133.333333333334	413.793103448276	428.571428571429	125	250	346.153846153847	163.265306122449	30.3030303030303	181.818181818182	62.5000000000001	435.897435897436	278.688524590164	327.586206896552	1166.66666666667	800.000000000004	500.000000000002	222.222222222223	173.913043478261	0	0	111.111111111111	0	1200.00000000001	500.000000000002	76.9230769230772	0	0	90.9090909090913	142.857142857144	100	250.000000000001	333.333333333335	700.000000000003	0	0	0	0	142.857142857143	0	0	142.857142857143	0	0	444.444444444447	0	0
AB986542.1.1371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1722.22222222223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106.382978723404	0	0	0	0	0	0	0	300.000000000001	0	0	0
ADCM01000022.93.1598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255.31914893617	0	0	0	0	0	0	0	0	0	0	0
ADGI01000045.4219.5736	0	0	206.896551724138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF001645.1.1525	96.7741935483872	0	0	0	0	0	0	0	0	0	0	0	0	68.9655172413794	0	0	0	0	0	0	0	361.111111111112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF200697.1.1451	0	0	0	0	0	0	0	0	0	0	0	0	377.049180327869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF224288.1.1535	0	0	0	0	0	0	0	0	0	0	62.5000000000001	0	0	0	0	0	0	0	0	444.444444444447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF280861.1.1535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4818.18181818184	0	0	0	0	0	0	0	1148.93617021277	1375.00000000001	0	0	0	0	0	0	1200.00000000001	777.777777777782	0	0
AGBX01000006.292668.294168	0	0	0	0	0	0	0	102.040816326531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGYD01000015.142520.144019	0	0	0	0	0	0	0	0	0	0	0	0	0	86.2068965517242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.5714285714286
AJ295649.1.1302	0	0	0	0	0	0	0	0	0	0	0	0	49.1803278688525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AJ439344.1.1502	0	0	0	57.1428571428572	0	0	0	0	0	0	0	153.846153846154	0	0	55.5555555555557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.5714285714286
AJ440990.1.1550	0	0	0	0	0	0	0	0	0	0	0	0	0	17.2413793103448	0	0	0	0	0	0	0	0	0	0	0	76.9230769230772	0	0	0	0	0	0	0	0	0	21.2765957446809	0	0	0	0	0	47.6190476190477	0	0	0	0	0
AJFB01000674.247.1689	96.7741935483872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0
AM114446.1.1269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	62.5000000000001	0	0	0	0	0	0	0	90.9090909090913	0	0	0	0	0	0	0	0	0	0	0	0
