OTU ID	A11	A12	A13	A14	A21	A22	A23	A24	A31	A32	A33	A34	B11	B12	B13	B14	B21	B22	B23	B24	B31	B32	B33	B34	B41	B42	B43	B44	B51	B52	B53	B54	B61	B62	B63	B64	C51	C52	C53	C61	C62	C63	C64	C71	C72	C73	C74	Mock	NC	PC	taxonomy
JF833468.1.1560	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Gammaproteobacteria Incertae Sedis; D_4__Unknown Family; D_5__Acidibacter; D_6__uncultured gamma proteobacterium
EU797470.1.1498	27.0	16.0	73.0	132.0	37.0	79.0	74.0	118.0	233.0	333.0	481.0	210.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Pseudomonadales; D_4__Pseudomonadaceae; D_5__Pseudomonas
KY646001.1.1573	25.0	6.0	60.0	108.0	16.0	39.0	38.0	50.0	62.0	103.0	87.0	102.0	63.0	424.0	14.0	3.0	2.0	2.0	0.0	2.0	0.0	15.0	0.0	1.0	3.0	4.0	12.0	1.0	0.0	0.0	0.0	1.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	6.0	12.0	3.0	11.0	0.0	0.0	0.0	9.0	20345.0	0.0	20800.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Bacillaceae; D_5__Bacillus
EF528273.1.1512	14.0	9.0	47.0	184.0	36.0	41.0	33.0	112.0	59.0	129.0	67.0	110.0	12.0	495.0	9.0	3.0	0.0	0.0	5.0	0.0	0.0	41.0	0.0	3.0	6.0	0.0	26.0	0.0	0.0	2.0	2.0	3.0	1.0	0.0	0.0	43.0	3.0	0.0	6.0	3.0	4.0	6.0	6.0	3.0	3.0	0.0	14.0	22197.0	1.0	11818.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Bacillaceae; D_5__Bacillus
LKHO01000001.198.1803	16.0	14.0	43.0	35.0	30.0	24.0	27.0	55.0	30.0	78.0	44.0	37.0	10.0	339.0	8.0	5.0	0.0	4.0	0.0	2.0	0.0	71.0	0.0	3.0	3.0	34.0	8.0	1.0	0.0	0.0	0.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	12.0	0.0	1.0	0.0	0.0	0.0	7.0	19540.0	1.0	18248.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Listeriaceae; D_5__Listeria; D_6__Listeria monocytogenes
CCPS01000022.154.1916	41.0	15.0	58.0	293.0	53.0	82.0	64.0	273.0	94.0	106.0	90.0	63.0	12.0	570.0	15.0	0.0	9.0	1.0	3.0	7.0	1.0	30.0	0.0	0.0	3.0	0.0	50.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	8.0	18.0	1.0	0.0	1.0	0.0	0.0	3.0	9392.0	2.0	642.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Enterobacteriales; D_4__Enterobacteriaceae; D_5__Escherichia-Shigella; D_6__Escherichia coli
JUOP01000215.81.1657	17.0	8.0	76.0	140.0	36.0	54.0	47.0	198.0	65.0	88.0	50.0	40.0	26.0	358.0	3.0	0.0	2.0	0.0	2.0	5.0	0.0	15.0	0.0	2.0	6.0	0.0	13.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	8.0	11.0	4.0	3.0	0.0	0.0	0.0	8.0	12553.0	1.0	8358.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Lactobacillales; D_4__Enterococcaceae; D_5__Enterococcus; D_6__Enterococcus faecalis
CVJT01000011.50.2173	1.0	1.0	2.0	2.0	3.0	0.0	2.0	1.0	2.0	0.0	2.0	1.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	381.0	0.0	288.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Staphylococcaceae; D_5__Staphylococcus; D_6__Staphylococcus aureus
HK555406.1.1525	2.0	1.0	0.0	4.0	4.0	2.0	0.0	1.0	0.0	2.0	2.0	0.0	1.0	2.0	1.0	1.0	1.0	3.0	0.0	2.0	2.0	2.0	0.0	0.0	0.0	1.0	3.0	2.0	1.0	1.0	0.0	0.0	2.0	2.0	3.0	3.0	1.0	3.0	2.0	0.0	0.0	2.0	11.0	11.0	3.0	4.0	0.0	3.0	2.0	3.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Alicyclobacillaceae; D_5__Alicyclobacillus
AB362767.1.1576	3.0	5.0	38.0	51.0	7.0	38.0	27.0	96.0	17.0	43.0	24.0	22.0	15.0	211.0	4.0	1.0	3.0	2.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	7.0	4.0	0.0	0.0	0.0	0.0	3.0	7798.0	0.0	12652.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Lactobacillales; D_4__Lactobacillaceae; D_5__Lactobacillus; D_6__Lactobacillus fermentum
