	PD_whole_tree
A11	4.03553
A12	3.16865
A13	5.19975
A14	3.8769
A21	3.82056
A22	2.86506
A23	4.06317
A24	4.85975
A31	4.34031
A32	3.40477
A33	6.03016
A34	4.43404
B11	3.73456
B12	3.9105
B13	4.05758
B14	2.76899
B21	2.39226
B22	1.99294
B23	2.98482
B24	4.45118
B31	2.54986
B32	3.00777
B33	2.3308
B34	3.31813
B41	2.92277
B42	1.63246
B43	4.17508
B44	2.69246
B51	2.03041
B52	2.13993
B53	3.42488
B54	3.84684
B61	2.01634
B62	1.60549
B63	2.8752
B64	3.32699
C51	2.55255
C52	1.20825
C53	3.25487
C61	2.55697
C62	3.0136
C63	2.37146
C64	3.77907
C71	4.26317
C72	2.96459
C73	1.62645
C74	6.37951
