"","Sample.id","Plant","Pod","Seed","Dryseed_weight_g","Richness","PD_whole_tree"
"1","A11","A","A1",1,0.38,28,4.03553
"2","A12","A","A1",2,0.36,19,3.16865
"3","A13","A","A1",3,0.4,30,5.19975
"4","A14","A","A1",4,0.35,29,3.8769
"5","A21","A","A2",1,0.39,25,3.82056
"6","A22","A","A2",2,0.4,24,2.86506
"7","A23","A","A2",3,0.41,32,4.06317
"8","A24","A","A2",4,0.34,39,4.85975
"9","A31","A","A3",1,0.33,38,4.34031
"10","A32","A","A3",2,0.28,28,3.40477
"11","A33","A","A3",3,0.29,39,6.03016
"12","A34","A","A3",4,0.35,36,4.43404
"13","B11","B","B1",1,0.32,29,3.73456
"14","B12","B","B1",2,0.33,38,3.9105
"15","B13","B","B1",3,0.35,30,4.05758
"16","B14","B","B1",4,0.39,19,2.76899
"17","B21","B","B2",1,0.32,17,2.39226
"18","B22","B","B2",2,0.31,8,1.99294
"19","B23","B","B2",3,0.26,21,2.98482
"20","B24","B","B2",4,0.32,18,4.45118
"21","B31","B","B3",1,0.34,11,2.54986
"22","B32","B","B3",2,0.26,20,3.00777
"23","B33","B","B3",3,0.35,13,2.3308
"24","B34","B","B3",4,0.34,17,3.31813
"25","B41","B","B4",1,0.31,20,2.92277
"26","B42","B","B4",2,0.27,11,1.63246
"27","B43","B","B4",3,0.36,28,4.17508
"28","B44","B","B4",4,0.31,16,2.69246
"29","B51","B","B5",1,0.28,12,2.03041
"30","B52","B","B5",2,0.29,13,2.13993
"31","B53","B","B5",3,0.3,17,3.42488
"32","B54","B","B5",4,0.29,25,3.84684
"33","B61","B","B6",1,0.34,13,2.01634
"34","B62","B","B6",2,0.39,9,1.60549
"35","B63","B","B6",3,0.36,14,2.8752
"36","B64","B","B6",4,0.37,18,3.32699
"37","C51","C","C5",1,0.39,15,2.55255
"38","C52","C","C5",2,0.35,7,1.20825
"39","C53","C","C5",3,0.4,22,3.25487
"40","C61","C","C6",1,0.32,17,2.55697
"41","C62","C","C6",2,0.33,27,3.0136
"42","C63","C","C6",3,0.32,14,2.37146
"43","C64","C","C6",4,0.31,25,3.77907
"44","C71","C","C7",1,0.34,17,4.26317
"45","C72","C","C7",2,0.36,12,2.96459
"46","C73","C","C7",3,0.34,8,1.62645
"47","C74","C","C7",4,0.35,46,6.37951
