OTUid	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU_10	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetales_fam_Incertae_sedis	Resinicium	Resinicium_friabile
OTU_11	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Sporidiobolaceae_unidentified_sp_9465	Sporidiobolaceae_unidentified_sp_9465
OTU_13	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Schizoporaceae	Xylodon	Xylodon_sambuci
OTU_14	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_sydowii
OTU_15	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces	Debaryomyces_udenii
OTU_16	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Schizoporaceae	Schizopora	Schizopora_flavipora
OTU_17	Fungi	Basidiomycota	Tremellomycetes	Tremellomycetes_unidentified_sp_1768	Tremellomycetes_unidentified_sp_1768	Tremellomycetes_unidentified_sp_1768	Tremellomycetes_unidentified_sp_1768
OTU_18	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis	Candida	Candida_sp_24673
OTU_19	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziales_unidentified_sp_2837	Malasseziales_unidentified_sp_2837	Malasseziales_unidentified_sp_2837
OTU_20	Fungi	Ascomycota	Sordariomycetes	Xylariales	Diatrypaceae	Diatrypaceae_unidentified_sp_2865	Diatrypaceae_unidentified_sp_2865
OTU_21	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus	Cryptococcus_sp_717
OTU_22	Fungi	Ascomycota	Dothideomycetes	Dothideales	Aureobasidiaceae	Aureobasidium	Aureobasidium_pullulans
OTU_24	Fungi	Ascomycota	Sordariomycetes	Trichosphaeriales	Trichosphaeriaceae	Nigrospora	Nigrospora_oryzae
OTU_26	Fungi	Fungi_unidentified_sp_5909	Fungi_unidentified_sp_5909	Fungi_unidentified_sp_5909	Fungi_unidentified_sp_5909	Fungi_unidentified_sp_5909	Fungi_unidentified_sp_5909
OTU_27	Fungi	Ascomycota	Dothideomycetes	Dothideales	Dothioraceae	Hormonema	Hormonema_macrosporum
OTU_28	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Septoriella	Septoriella_phragmitis
OTU_29	Fungi	Ascomycota	Ascomycota_unidentified_sp_1811	Ascomycota_unidentified_sp_1811	Ascomycota_unidentified_sp_1811	Ascomycota_unidentified_sp_1811	Ascomycota_unidentified_sp_1811
OTU_30	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Zygosaccharomyces	Zygosaccharomyces_rouxii
OTU_31	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariales_fam_Incertae_sedis	Phialemoniopsis	Phialemoniopsis_curvata
OTU_32	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	Malassezia_globosa
OTU_33	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Simplicillium	Simplicillium_aogashimaense
OTU_35	Fungi	Basidiomycota	Pucciniomycetes	Pucciniales	Pucciniaceae	Uromyces	Uromyces_striolatus
OTU_36	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Pyrenochaetopsis	Pyrenochaetopsis_leptospora
OTU_37	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	Malassezia_sympodialis
OTU_38	Fungi	Basidiomycota	Tremellomycetes	Tremellomycetes_unidentified_sp_12129	Tremellomycetes_unidentified_sp_12129	Tremellomycetes_unidentified_sp_12129	Tremellomycetes_unidentified_sp_12129
OTU_39	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Cutaneotrichosporon	Cutaneotrichosporon_jirovecii
OTU_42	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Schizoporaceae	Schizoporaceae_unidentified_sp_2139	Schizoporaceae_unidentified_sp_2139
OTU_43	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetaceae	Hymenochaetopsis	Hymenochaetopsis_corrugata
OTU_46	Fungi	Basidiomycota	Agaricomycetes	Auriculariales	Auriculariales_unidentified_sp_10338	Auriculariales_unidentified_sp_10338	Auriculariales_unidentified_sp_10338
OTU_48	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis	Diutina	Diutina_rugosa
OTU_53	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Ceratobasidiaceae_unidentified_sp_7584	Ceratobasidiaceae_unidentified_sp_7584
OTU_56	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces_paradoxus
OTU_60	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_sp_24919
OTU_61	Fungi	Ascomycota	Ascomycota_unidentified_sp_544	Ascomycota_unidentified_sp_544	Ascomycota_unidentified_sp_544	Ascomycota_unidentified_sp_544	Ascomycota_unidentified_sp_544
OTU_64	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	Malassezia_sp_10006
OTU_65	Fungi	Basidiomycota	Basidiomycota_unidentified_sp_28088	Basidiomycota_unidentified_sp_28088	Basidiomycota_unidentified_sp_28088	Basidiomycota_unidentified_sp_28088	Basidiomycota_unidentified_sp_28088
OTU_68	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Marasmiaceae	Marasmiaceae_unidentified_sp_21518	Marasmiaceae_unidentified_sp_21518
OTU_7	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Meruliaceae	Phlebiopsis	Phlebiopsis_sp_16232
OTU_75	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_sp_1406
