"","OTUid","fgOcc.C","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"14","OTU_26",0.454545454545455,"Fungi","Fungi_unidentified_sp_5909","Fungi_unidentified_sp_5909","Fungi_unidentified_sp_5909","Fungi_unidentified_sp_5909","Fungi_unidentified_sp_5909","Fungi_unidentified_sp_5909"
"43","OTU_9",0.454545454545455,"Fungi","Ascomycota","Dothideomycetes","Capnodiales","Capnodiales_unidentified_sp_23791","Capnodiales_unidentified_sp_23791","Capnodiales_unidentified_sp_23791"
"12","OTU_22",0.272727272727273,"Fungi","Ascomycota","Dothideomycetes","Dothideales","Aureobasidiaceae","Aureobasidium","Aureobasidium_pullulans"
"4","OTU_14",0.181818181818182,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus_sydowii"
"15","OTU_27",0.181818181818182,"Fungi","Ascomycota","Dothideomycetes","Dothideales","Dothioraceae","Hormonema","Hormonema_macrosporum"
"24","OTU_37",0.181818181818182,"Fungi","Basidiomycota","Malasseziomycetes","Malasseziales","Malasseziaceae","Malassezia","Malassezia_sympodialis"
"16","OTU_28",0.0909090909090909,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Septoriella","Septoriella_phragmitis"
"19","OTU_31",0.0909090909090909,"Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariales_fam_Incertae_sedis","Phialemoniopsis","Phialemoniopsis_curvata"
"20","OTU_32",0.0909090909090909,"Fungi","Basidiomycota","Malasseziomycetes","Malasseziales","Malasseziaceae","Malassezia","Malassezia_globosa"
"23","OTU_36",0.0909090909090909,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Cucurbitariaceae","Pyrenochaetopsis","Pyrenochaetopsis_leptospora"
"25","OTU_38",0.0909090909090909,"Fungi","Basidiomycota","Tremellomycetes","Tremellomycetes_unidentified_sp_12129","Tremellomycetes_unidentified_sp_12129","Tremellomycetes_unidentified_sp_12129","Tremellomycetes_unidentified_sp_12129"
"26","OTU_39",0.0909090909090909,"Fungi","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Cutaneotrichosporon","Cutaneotrichosporon_jirovecii"
"30","OTU_48",0.0909090909090909,"Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetales_fam_Incertae_sedis","Diutina","Diutina_rugosa"
"31","OTU_53",0.0909090909090909,"Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","Ceratobasidiaceae_unidentified_sp_7584","Ceratobasidiaceae_unidentified_sp_7584"
"33","OTU_60",0.0909090909090909,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium_sp_24919"
"34","OTU_61",0.0909090909090909,"Fungi","Ascomycota","Ascomycota_unidentified_sp_544","Ascomycota_unidentified_sp_544","Ascomycota_unidentified_sp_544","Ascomycota_unidentified_sp_544","Ascomycota_unidentified_sp_544"
"38","OTU_7",0.0909090909090909,"Fungi","Basidiomycota","Agaricomycetes","Polyporales","Meruliaceae","Phlebiopsis","Phlebiopsis_sp_16232"
"41","OTU_78",0.0909090909090909,"Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Phaffomycetaceae","Cyberlindnera","Cyberlindnera_jadinii"
"1","OTU_10",0,"Fungi","Basidiomycota","Agaricomycetes","Hymenochaetales","Hymenochaetales_fam_Incertae_sedis","Resinicium","Resinicium_friabile"
"2","OTU_11",0,"Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales","Sporidiobolaceae","Sporidiobolaceae_unidentified_sp_9465","Sporidiobolaceae_unidentified_sp_9465"
"3","OTU_13",0,"Fungi","Basidiomycota","Agaricomycetes","Hymenochaetales","Schizoporaceae","Xylodon","Xylodon_sambuci"
"5","OTU_15",0,"Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Debaryomycetaceae","Debaryomyces","Debaryomyces_udenii"
