"","OTUid","Occ.seed.its","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"4","OTU_14",0.275,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus_sydowii"
"14","OTU_26",0.25,"Fungi","Fungi_unidentified_sp_5909","Fungi_unidentified_sp_5909","Fungi_unidentified_sp_5909","Fungi_unidentified_sp_5909","Fungi_unidentified_sp_5909","Fungi_unidentified_sp_5909"
"43","OTU_9",0.25,"Fungi","Ascomycota","Dothideomycetes","Capnodiales","Capnodiales_unidentified_sp_23791","Capnodiales_unidentified_sp_23791","Capnodiales_unidentified_sp_23791"
"12","OTU_22",0.2,"Fungi","Ascomycota","Dothideomycetes","Dothideales","Aureobasidiaceae","Aureobasidium","Aureobasidium_pullulans"
"39","OTU_75",0.15,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium_sp_1406"
"19","OTU_31",0.1,"Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariales_fam_Incertae_sedis","Phialemoniopsis","Phialemoniopsis_curvata"
"20","OTU_32",0.1,"Fungi","Basidiomycota","Malasseziomycetes","Malasseziales","Malasseziaceae","Malassezia","Malassezia_globosa"
"5","OTU_15",0.075,"Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Debaryomycetaceae","Debaryomyces","Debaryomyces_udenii"
"38","OTU_7",0.075,"Fungi","Basidiomycota","Agaricomycetes","Polyporales","Meruliaceae","Phlebiopsis","Phlebiopsis_sp_16232"
"3","OTU_13",0.05,"Fungi","Basidiomycota","Agaricomycetes","Hymenochaetales","Schizoporaceae","Xylodon","Xylodon_sambuci"
"6","OTU_16",0.05,"Fungi","Basidiomycota","Agaricomycetes","Hymenochaetales","Schizoporaceae","Schizopora","Schizopora_flavipora"
"15","OTU_27",0.05,"Fungi","Ascomycota","Dothideomycetes","Dothideales","Dothioraceae","Hormonema","Hormonema_macrosporum"
"24","OTU_37",0.05,"Fungi","Basidiomycota","Malasseziomycetes","Malasseziales","Malasseziaceae","Malassezia","Malassezia_sympodialis"
"34","OTU_61",0.05,"Fungi","Ascomycota","Ascomycota_unidentified_sp_544","Ascomycota_unidentified_sp_544","Ascomycota_unidentified_sp_544","Ascomycota_unidentified_sp_544","Ascomycota_unidentified_sp_544"
"1","OTU_10",0.025,"Fungi","Basidiomycota","Agaricomycetes","Hymenochaetales","Hymenochaetales_fam_Incertae_sedis","Resinicium","Resinicium_friabile"
"2","OTU_11",0.025,"Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales","Sporidiobolaceae","Sporidiobolaceae_unidentified_sp_9465","Sporidiobolaceae_unidentified_sp_9465"
"7","OTU_17",0.025,"Fungi","Basidiomycota","Tremellomycetes","Tremellomycetes_unidentified_sp_1768","Tremellomycetes_unidentified_sp_1768","Tremellomycetes_unidentified_sp_1768","Tremellomycetes_unidentified_sp_1768"
"8","OTU_18",0.025,"Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetales_fam_Incertae_sedis","Candida","Candida_sp_24673"
"9","OTU_19",0.025,"Fungi","Basidiomycota","Malasseziomycetes","Malasseziales","Malasseziales_unidentified_sp_2837","Malasseziales_unidentified_sp_2837","Malasseziales_unidentified_sp_2837"
"10","OTU_20",0.025,"Fungi","Ascomycota","Sordariomycetes","Xylariales","Diatrypaceae","Diatrypaceae_unidentified_sp_2865","Diatrypaceae_unidentified_sp_2865"
"11","OTU_21",0.025,"Fungi","Basidiomycota","Tremellomycetes","Tremellales","Tremellaceae","Cryptococcus","Cryptococcus_sp_717"
"13","OTU_24",0.025,"Fungi","Ascomycota","Sordariomycetes","Trichosphaeriales","Trichosphaeriaceae","Nigrospora","Nigrospora_oryzae"
"16","OTU_28",0.025,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Septoriella","Septoriella_phragmitis"
"17","OTU_29",0.025,"Fungi","Ascomycota","Ascomycota_unidentified_sp_1811","Ascomycota_unidentified_sp_1811","Ascomycota_unidentified_sp_1811","Ascomycota_unidentified_sp_1811","Ascomycota_unidentified_sp_1811"
"18","OTU_30",0.025,"Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Zygosaccharomyces","Zygosaccharomyces_rouxii"
"21","OTU_33",0.025,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Cordycipitaceae","Simplicillium","Simplicillium_aogashimaense"
"22","OTU_35",0.025,"Fungi","Basidiomycota","Pucciniomycetes","Pucciniales","Pucciniaceae","Uromyces","Uromyces_striolatus"
"23","OTU_36",0.025,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Cucurbitariaceae","Pyrenochaetopsis","Pyrenochaetopsis_leptospora"
"25","OTU_38",0.025,"Fungi","Basidiomycota","Tremellomycetes","Tremellomycetes_unidentified_sp_12129","Tremellomycetes_unidentified_sp_12129","Tremellomycetes_unidentified_sp_12129","Tremellomycetes_unidentified_sp_12129"
"26","OTU_39",0.025,"Fungi","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Cutaneotrichosporon","Cutaneotrichosporon_jirovecii"
"27","OTU_42",0.025,"Fungi","Basidiomycota","Agaricomycetes","Hymenochaetales","Schizoporaceae","Schizoporaceae_unidentified_sp_2139","Schizoporaceae_unidentified_sp_2139"
"28","OTU_43",0.025,"Fungi","Basidiomycota","Agaricomycetes","Hymenochaetales","Hymenochaetaceae","Hymenochaetopsis","Hymenochaetopsis_corrugata"
"29","OTU_46",0.025,"Fungi","Basidiomycota","Agaricomycetes","Auriculariales","Auriculariales_unidentified_sp_10338","Auriculariales_unidentified_sp_10338","Auriculariales_unidentified_sp_10338"
"30","OTU_48",0.025,"Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetales_fam_Incertae_sedis","Diutina","Diutina_rugosa"
"31","OTU_53",0.025,"Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","Ceratobasidiaceae_unidentified_sp_7584","Ceratobasidiaceae_unidentified_sp_7584"
"32","OTU_56",0.025,"Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Saccharomyces","Saccharomyces_paradoxus"
"33","OTU_60",0.025,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium_sp_24919"
"35","OTU_64",0.025,"Fungi","Basidiomycota","Malasseziomycetes","Malasseziales","Malasseziaceae","Malassezia","Malassezia_sp_10006"
"36","OTU_65",0.025,"Fungi","Basidiomycota","Basidiomycota_unidentified_sp_28088","Basidiomycota_unidentified_sp_28089","Basidiomycota_unidentified_sp_28090","Basidiomycota_unidentified_sp_28091","Basidiomycota_unidentified_sp_28088"
"37","OTU_68",0.025,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Marasmiaceae","Marasmiaceae_unidentified_sp_21518","Marasmiaceae_unidentified_sp_21518"
"40","OTU_77",0.025,"Fungi","Fungi_unidentified_sp_13341","Fungi_unidentified_sp_13341","Fungi_unidentified_sp_13341","Fungi_unidentified_sp_13341","Fungi_unidentified_sp_13341","Fungi_unidentified_sp_13341"
"41","OTU_78",0.025,"Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Phaffomycetaceae","Cyberlindnera","Cyberlindnera_jadinii"
"42","OTU_84",0.025,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusicolla","Fusicolla_aquaeductuum"
